customer_id,recency,frequency,monetary,response
CS1458,5,20,1422,0
CS1459,124,24,1627,1
CS1460,41,18,1185,0
CS1461,27,23,1567,0
CS1462,48,24,1616,1
CS1463,128,27,1807,0
CS1464,236,21,1613,0
CS1465,2,22,1631,0
CS1466,22,17,1190,0
CS1467,218,18,1233,0
CS1468,9,21,1412,0
CS1469,9,19,1387,0
CS1470,52,22,1649,0
CS1471,4,20,1325,0
CS1472,8,19,1241,0
CS1473,3,25,1695,1
CS1474,89,21,1487,0
CS1475,55,18,1197,0
CS1476,77,20,1430,0
CS1477,13,18,1185,0
CS1478,90,19,1300,0
CS1479,57,20,1567,0
CS1480,82,17,1251,0
CS1481,448,13,876,0
CS1482,36,12,732,0
CS1483,74,24,1774,0
CS1484,99,16,1221,0
CS1485,22,25,1814,0
CS1486,48,19,1377,0
CS1487,28,10,599,0
CS1488,13,23,1595,0
CS1489,33,15,950,0
CS1490,23,25,1788,0
CS1491,87,17,1244,0
CS1492,37,19,1358,0
CS1493,5,21,1531,0
CS1494,118,21,1502,0
CS1495,18,17,1138,0
CS1496,23,18,1222,0
CS1497,7,20,1445,0
CS1498,56,22,1519,0
CS1499,45,26,1879,0
CS1500,164,15,983,0
CS1501,35,26,1965,0
CS1502,5,22,1613,0
CS1503,1,27,1927,0
CS1504,44,13,825,0
CS1505,52,25,1703,0
CS1506,76,18,1307,0
CS1507,19,21,1280,0
CS1508,14,28,1933,0
CS1509,146,20,1383,0
CS1510,3,26,1792,0
CS1511,50,18,1253,0
CS1512,23,20,1239,0
CS1513,106,22,1444,0
CS1514,161,16,1046,0
CS1515,14,22,1742,0
CS1516,101,18,1308,0
CS1517,85,18,1168,0
CS1518,124,19,1151,0
CS1519,11,15,962,0
CS1520,3,18,1162,0
CS1521,194,9,671,0
CS1522,96,14,894,0
CS1523,215,15,928,0
CS1524,130,17,1075,0
CS1525,27,17,1215,0
CS1526,31,19,1324,0
CS1527,13,19,1187,0
CS1528,3,24,1660,0
CS1529,9,25,1823,0
CS1530,251,10,626,0
CS1531,35,25,1793,0
CS1532,283,17,1140,0
CS1533,43,23,1606,0
CS1534,68,20,1379,0
CS1535,83,24,1904,0
CS1536,35,12,753,0
CS1537,5,20,1323,0
CS1538,2,19,1304,0
CS1539,25,20,1371,1
CS1540,38,19,1199,0
CS1541,141,30,2273,1
CS1542,170,27,1808,0
CS1543,1,12,948,0
CS1544,53,19,1334,1
CS1545,21,28,1935,0
CS1546,199,18,1436,0
CS1547,25,22,1600,0
CS1548,17,23,1755,0
CS1549,25,20,1393,0
CS1550,50,22,1583,0
CS1551,101,18,1300,0
CS1552,30,22,1604,0
CS1553,187,20,1444,1
CS1554,141,17,993,0
CS1555,62,23,1571,0
CS1556,22,13,1031,0
CS1557,41,30,1992,0
CS1558,19,23,1500,0
CS1559,6,20,1613,0
CS1560,49,18,1352,0
CS1561,1,15,1082,0
CS1562,378,12,711,0
CS1563,404,17,1108,0
CS1564,18,16,1304,0
CS1565,120,17,1147,0
CS1566,190,21,1491,1
CS1567,21,19,1465,1
CS1568,33,20,1604,0
CS1569,25,15,1074,0
CS1570,102,25,1782,0
CS1571,31,20,1503,0
CS1572,34,15,1085,0
CS1573,43,19,1539,0
CS1574,7,18,1018,0
CS1575,46,26,1611,0
CS1576,93,16,1074,0
CS1577,19,21,1525,0
CS1578,88,16,1125,0
CS1579,26,20,1433,0
CS1580,190,33,2329,1
CS1581,37,23,1501,0
CS1582,18,27,2009,1
CS1583,29,25,1919,0
CS1584,14,21,1512,0
CS1585,93,19,1167,0
CS1586,73,20,1441,0
CS1587,37,27,1900,0
CS1588,9,25,1591,0
CS1589,15,15,1151,0
CS1590,154,16,964,0
CS1591,154,18,1144,0
CS1592,34,19,1215,0
CS1593,24,20,1406,0
CS1594,23,13,901,0
CS1595,106,10,648,0
CS1596,18,19,1342,0
CS1597,66,23,1611,0
CS1598,39,20,1289,0
CS1599,57,15,1028,0
CS1600,19,20,1331,0
CS1601,79,27,1787,0
CS1602,26,20,1401,0
CS1603,125,19,1374,0
CS1604,15,28,1950,0
CS1605,16,27,1685,0
CS1606,2,13,781,0
CS1607,61,19,1384,0
CS1608,49,14,973,0
CS1609,137,20,1375,0
CS1610,32,19,1326,0
CS1611,258,23,1794,0
CS1612,19,26,1759,0
CS1613,127,21,1347,0
CS1614,10,22,1568,0
CS1615,3,20,1419,1
CS1616,10,19,1434,0
CS1617,104,27,1784,0
CS1618,175,13,887,0
CS1619,11,21,1323,1
CS1620,300,16,1320,0
CS1621,21,26,1894,0
CS1622,0,20,1360,1
CS1623,16,26,1777,0
CS1624,39,25,1832,0
CS1625,5,14,950,0
CS1626,61,17,1172,0
CS1627,77,16,1043,0
CS1628,21,21,1456,0
CS1629,3,22,1394,0
CS1630,1,20,1393,0
CS1631,41,18,1223,0
CS1632,8,17,1187,0
CS1633,18,26,1763,0
CS1634,14,15,1044,0
CS1635,96,23,1573,1
CS1636,68,19,1347,0
CS1637,22,22,1496,0
CS1638,230,15,1035,0
CS1639,12,23,1619,0
CS1640,60,19,1232,0
CS1641,8,17,1232,0
CS1642,34,24,1672,0
CS1643,22,27,2087,0
CS1644,75,22,1542,0
CS1645,243,19,1412,0
CS1646,27,17,1185,0
CS1647,16,21,1401,0
CS1648,116,24,1776,0
CS1649,48,16,1197,0
CS1650,113,24,1832,1
CS1651,104,13,927,0
CS1652,1,26,1726,0
CS1653,117,26,1986,1
CS1654,90,19,1384,0
CS1655,28,14,955,0
CS1656,51,14,966,0
CS1657,125,18,1105,0
CS1658,29,20,1389,0
CS1659,43,19,1311,0
CS1660,20,24,1745,0
CS1661,27,32,2051,1
CS1662,22,17,1033,0
CS1663,96,23,1487,1
CS1664,13,25,1954,0
CS1665,155,16,1033,0
CS1666,50,18,1385,0
CS1667,73,20,1313,0
CS1668,49,17,1227,0
CS1669,15,15,1105,1
CS1670,81,16,1191,0
CS1671,84,17,1246,1
CS1672,131,15,1110,0
CS1673,54,26,1784,0
CS1674,54,17,1088,0
CS1675,38,28,2124,0
CS1676,66,28,2088,1
CS1677,64,21,1439,1
CS1678,75,18,1230,0
CS1679,7,28,1976,0
CS1680,48,18,1151,0
CS1681,113,21,1467,0
CS1682,126,15,1075,0
CS1683,14,17,1245,0
CS1684,68,18,1241,0
CS1685,215,22,1569,0
CS1686,67,24,1647,0
CS1687,24,22,1656,0
CS1688,131,17,1167,0
CS1689,74,16,993,1
CS1690,23,19,1354,0
CS1691,73,20,1523,1
CS1692,1,23,1592,0
CS1693,15,12,908,0
CS1694,65,22,1330,0
CS1695,93,32,2174,0
CS1696,129,19,1325,1
CS1697,107,15,1082,0
CS1698,5,19,1397,0
CS1699,16,18,1261,0
CS1700,247,17,1186,0
CS1701,178,18,1190,0
CS1702,26,17,1028,0
CS1703,69,15,890,1
CS1704,18,22,1484,0
CS1705,78,21,1553,1
CS1706,30,23,1681,0
CS1707,41,22,1627,0
CS1708,40,25,1790,1
CS1709,159,23,1629,1
CS1710,265,22,1577,0
CS1711,85,23,1548,0
CS1712,120,21,1411,0
CS1713,9,19,1495,0
CS1714,0,16,1248,0
CS1715,47,20,1314,0
CS1716,352,6,440,0
CS1717,49,14,963,0
CS1718,77,18,1284,0
CS1719,35,17,1166,0
CS1720,0,17,1104,0
CS1721,20,24,1687,0
CS1722,14,19,1320,0
CS1723,35,17,1146,0
CS1724,29,18,1223,0
CS1725,59,27,1778,0
CS1726,27,23,1529,0
CS1727,11,25,1702,0
CS1728,106,26,1896,0
CS1729,13,24,1567,0
CS1730,131,19,1260,0
CS1731,14,17,1145,0
CS1732,25,18,1353,0
CS1733,130,20,1506,0
CS1734,190,18,1235,0
CS1735,13,14,952,0
CS1736,83,24,1653,1
CS1737,90,23,1737,0
CS1738,35,20,1337,0
CS1739,48,17,1199,0
CS1740,39,25,1902,1
CS1741,147,19,1264,0
CS1742,70,19,1326,1
CS1743,168,17,1405,0
CS1744,13,14,1066,0
CS1745,24,22,1615,0
CS1746,274,26,1878,1
CS1747,4,17,1099,0
CS1748,2,22,1498,0
CS1749,17,17,1174,0
CS1750,12,22,1543,0
CS1751,49,23,1504,0
CS1752,17,22,1656,0
CS1753,86,18,1180,0
CS1754,78,17,1177,0
CS1755,86,17,1164,0
CS1756,235,18,1176,0
CS1757,80,31,2238,1
CS1758,65,20,1337,0
CS1759,107,24,1654,1
CS1760,62,21,1570,1
CS1761,1,16,1144,0
CS1762,92,14,1027,0
CS1763,28,24,1689,0
CS1764,35,15,1085,1
CS1765,84,14,1079,0
CS1766,120,19,1067,0
CS1767,32,26,1674,0
CS1768,95,25,1794,1
CS1769,180,20,1356,0
CS1770,6,25,1734,0
CS1771,12,19,1337,0
CS1772,53,18,1348,1
CS1773,86,22,1442,0
CS1774,4,25,1756,0
CS1775,53,13,848,0
CS1776,58,25,1782,0
CS1777,79,14,1044,0
CS1778,31,19,1368,0
CS1779,14,16,1086,0
CS1780,9,19,1265,0
CS1781,189,29,2131,0
CS1782,76,17,1174,0
CS1783,98,17,1210,0
CS1784,119,15,993,0
CS1785,18,29,2103,1
CS1786,35,31,2218,0
CS1787,11,22,1443,0
CS1788,154,24,1548,0
CS1789,15,16,1192,0
CS1790,180,18,1241,0
CS1791,0,21,1607,0
CS1792,72,17,1179,0
CS1793,16,17,1035,0
CS1794,0,24,1764,0
CS1795,130,17,1331,0
CS1796,44,20,1462,0
CS1797,50,23,1393,0
CS1798,99,27,1826,0
CS1799,41,14,966,0
CS1800,2,16,1053,0
CS1801,112,15,994,0
CS1802,10,27,1913,0
CS1803,127,21,1562,1
CS1804,39,19,1247,0
CS1805,24,31,2076,1
CS1806,45,15,1025,0
CS1807,51,26,1732,0
CS1808,90,14,851,0
CS1809,28,21,1500,0
CS1810,42,16,1165,0
CS1811,16,18,1425,0
CS1812,5,27,1783,0
CS1813,115,25,1757,0
CS1814,137,21,1462,0
CS1815,39,14,959,0
CS1816,35,22,1723,0
CS1817,18,18,1315,0
CS1818,19,22,1674,0
CS1819,37,26,1867,0
CS1820,44,25,1898,0
CS1821,227,20,1418,0
CS1822,28,13,921,0
CS1823,40,16,1198,0
CS1824,8,17,1271,0
CS1825,13,23,1734,0
CS1826,72,15,1072,1
CS1827,12,24,1680,0
CS1828,49,16,1154,0
CS1829,18,19,1454,0
CS1830,98,17,1175,0
CS1831,14,26,1759,0
CS1832,103,25,1796,1
CS1833,67,18,1139,0
CS1834,435,13,787,0
CS1835,41,19,1389,0
CS1836,263,26,1905,0
CS1837,42,19,1469,0
CS1838,10,21,1409,0
CS1839,164,16,1123,1
CS1840,40,19,1183,0
CS1841,13,17,1110,0
CS1842,3,21,1568,0
CS1843,2,20,1432,0
CS1844,18,22,1452,0
CS1845,239,13,938,0
CS1846,86,26,1812,0
CS1847,50,22,1576,0
CS1848,80,17,1279,0
CS1849,9,11,716,0
CS1850,7,24,1908,0
CS1851,30,21,1444,0
CS1852,102,14,1020,0
CS1853,64,17,1212,0
CS1854,109,22,1686,0
CS1855,107,19,1256,0
CS1856,16,17,1063,0
CS1857,7,25,1717,0
CS1858,67,21,1389,0
CS1859,34,19,1198,0
CS1860,7,16,1062,0
CS1861,8,20,1376,0
CS1862,77,24,1634,0
CS1863,35,23,1635,0
CS1864,19,27,1992,0
CS1865,96,31,2245,1
CS1866,113,25,1890,0
CS1867,66,20,1271,0
CS1868,66,16,1048,0
CS1869,39,14,868,0
CS1870,43,24,1472,1
CS1871,141,20,1449,0
CS1872,21,20,1416,0
CS1873,55,16,1128,0
CS1874,14,16,1054,0
CS1875,24,19,1481,0
CS1876,26,21,1491,0
CS1877,92,25,1681,0
CS1878,124,23,1775,1
CS1879,52,18,1160,0
CS1880,129,18,1278,0
CS1881,158,13,902,1
CS1882,56,9,673,0
CS1883,50,15,1117,0
CS1884,36,13,802,0
CS1885,2,24,1781,0
CS1886,106,18,1157,0
CS1887,63,19,1506,0
CS1888,39,23,1739,0
CS1889,17,11,717,0
CS1890,13,23,1591,0
CS1891,309,14,927,0
CS1892,45,18,1334,0
CS1893,82,19,1262,0
CS1894,13,21,1456,0
CS1895,130,19,1357,1
CS1896,171,12,874,0
CS1897,73,21,1491,0
CS1898,78,19,1470,0
CS1899,24,11,729,0
CS1900,117,24,1737,1
CS1901,166,22,1620,0
CS1902,31,15,1109,0
CS1903,6,25,1826,0
CS1904,122,18,1275,0
CS1905,14,24,1551,1
CS1906,32,28,2012,0
CS1907,61,20,1423,1
CS1908,105,27,1833,0
CS1909,13,17,1255,0
CS1910,74,16,1142,0
CS1911,11,24,1667,0
CS1912,2,23,1510,0
CS1913,31,16,959,0
CS1914,25,18,1254,1
CS1915,182,6,497,0
CS1916,8,23,1700,0
CS1917,113,17,1028,0
CS1918,150,13,871,0
CS1919,363,20,1256,1
CS1920,49,28,1939,0
CS1921,51,26,2011,0
CS1922,51,20,1418,0
CS1923,77,30,2130,1
CS1924,30,25,1774,0
CS1925,4,28,2000,0
CS1926,117,22,1511,0
CS1927,111,19,1220,0
CS1928,7,14,798,0
CS1929,44,16,1095,0
CS1930,96,22,1559,0
CS1931,128,19,1236,0
CS1932,143,21,1538,0
CS1933,45,23,1568,0
CS1934,44,18,1262,0
CS1935,44,21,1517,0
CS1936,82,15,1080,0
CS1937,107,18,1231,0
CS1938,23,22,1636,0
CS1939,177,19,1297,0
CS1940,252,25,1800,0
CS1941,14,15,1044,0
CS1942,89,18,1308,0
CS1943,6,20,1459,0
CS1944,17,20,1399,0
CS1945,50,21,1527,1
CS1946,10,22,1581,0
CS1947,88,20,1400,0
CS1948,54,17,1230,0
CS1949,54,26,1989,0
CS1950,1,23,1853,0
CS1951,114,20,1331,0
CS1952,96,18,1397,0
CS1953,9,20,1534,0
CS1954,5,21,1549,0
CS1955,32,20,1361,0
CS1956,201,16,1131,0
CS1957,68,23,1698,0
CS1958,107,16,987,1
CS1959,121,22,1537,1
CS1960,10,19,1424,0
CS1961,25,15,1102,0
CS1962,246,14,1062,0
CS1963,7,19,1352,0
CS1964,15,24,1499,1
CS1965,132,17,1182,0
CS1966,21,16,1159,0
CS1967,39,18,1279,0
CS1968,12,22,1429,0
CS1969,40,29,1851,0
CS1970,4,15,1133,0
CS1971,39,16,1130,0
CS1972,26,22,1630,0
CS1973,128,10,664,0
CS1974,178,21,1447,0
CS1975,85,27,1974,0
CS1976,1,14,1036,0
CS1977,18,18,1299,0
CS1978,75,31,2220,0
CS1979,124,17,1145,0
CS1980,17,22,1583,0
CS1981,7,17,1298,0
CS1982,24,32,2354,0
CS1983,236,15,1070,0
CS1984,307,15,1043,0
CS1985,55,20,1411,0
CS1986,29,17,1148,0
CS1987,34,24,1720,0
CS1988,6,23,1569,0
CS1989,9,19,1286,1
CS1990,53,18,1276,0
CS1991,1,22,1677,0
CS1992,31,18,1408,1
CS1993,175,19,1164,0
CS1994,127,16,1115,0
CS1995,167,23,1490,1
CS1996,58,28,2038,1
CS1997,135,17,1153,0
CS1998,21,25,1779,0
CS1999,7,14,1002,0
CS2000,68,21,1395,0
CS2001,125,21,1280,0
CS2002,52,19,1419,1
CS2003,71,24,1687,0
CS2004,43,20,1444,0
CS2005,29,24,1662,0
CS2006,69,15,1114,0
CS2007,53,18,1331,0
CS2008,11,21,1442,1
CS2009,5,12,943,0
CS2010,109,17,1076,0
CS2011,515,14,1078,0
CS2012,109,11,862,0
CS2013,55,18,1177,0
CS2014,13,11,871,0
CS2015,91,21,1542,0
CS2016,95,21,1595,0
CS2017,169,20,1286,0
CS2018,33,19,1404,0
CS2019,13,19,1390,0
CS2020,130,18,1331,0
CS2021,254,16,1211,0
CS2022,29,26,1981,0
CS2023,54,17,1212,0
CS2024,172,17,1176,0
CS2025,81,17,1252,0
CS2026,2,28,1907,1
CS2027,3,25,1648,0
CS2028,82,14,891,0
CS2029,137,17,1046,0
CS2030,24,25,1674,0
CS2031,37,24,1737,0
CS2032,143,19,1289,0
CS2033,197,9,571,0
CS2034,200,21,1447,0
CS2035,18,19,1344,0
CS2036,43,26,1827,0
CS2037,240,24,1663,0
CS2038,49,21,1523,0
CS2039,38,18,1302,1
CS2040,1,22,1347,0
CS2041,216,20,1301,0
CS2042,54,23,1643,0
CS2043,69,21,1420,0
CS2044,43,20,1219,0
CS2045,66,20,1460,0
CS2046,7,13,987,0
CS2047,29,23,1611,0
CS2048,20,22,1677,0
CS2049,124,22,1447,0
CS2050,12,17,1188,0
CS2051,97,20,1585,0
CS2052,17,22,1626,0
CS2053,12,20,1494,1
CS2054,45,15,1074,0
CS2055,41,29,1983,0
CS2056,53,23,1577,0
CS2057,21,17,1238,0
CS2058,11,26,1776,0
CS2059,113,25,1806,0
CS2060,115,18,1089,0
CS2061,3,22,1615,0
CS2062,139,13,795,0
CS2063,119,16,1091,1
CS2064,131,16,1111,1
CS2065,9,17,1069,0
CS2066,144,15,975,0
CS2067,172,20,1341,0
CS2068,52,15,1073,0
CS2069,104,21,1397,0
CS2070,27,19,1354,0
CS2071,23,16,1147,0
CS2072,7,24,1712,0
CS2073,35,21,1511,0
CS2074,1,17,1241,0
CS2075,64,17,1135,0
CS2076,69,15,1019,0
CS2077,8,12,683,0
CS2078,72,20,1498,0
CS2079,104,23,1576,0
CS2080,67,18,1250,1
CS2081,17,25,1749,0
CS2082,112,15,977,0
CS2083,22,26,1632,0
CS2084,20,18,1257,0
CS2085,173,25,1668,1
CS2086,10,28,2071,0
CS2087,21,15,1063,0
CS2088,399,9,612,0
CS2089,35,22,1598,0
CS2090,158,13,939,0
CS2091,100,24,1783,0
CS2092,47,19,1387,0
CS2093,47,20,1298,0
CS2094,60,21,1406,0
CS2095,13,27,1931,0
CS2096,15,16,1136,0
CS2097,8,15,1031,0
CS2098,70,24,1760,0
CS2099,88,14,1034,0
CS2100,126,18,1227,0
CS2101,62,19,1194,1
CS2102,247,19,1356,1
CS2103,35,17,1269,0
CS2104,39,25,1726,0
CS2105,295,15,963,0
CS2106,26,17,1271,0
CS2107,0,14,1047,0
CS2108,42,16,1106,0
CS2109,35,26,1836,0
CS2110,123,17,1098,0
CS2111,18,21,1518,0
CS2112,2,19,1344,0
CS2113,6,27,1892,1
CS2114,37,16,1050,0
CS2115,39,24,1807,0
